EngDispl,NumCyl,FE,NumGears,TransLockup,TransCreeperGear,IntakeValvePerCyl,ExhaustValvesPerCyl,VarValveTiming,VarValveLift
5.9,12,22.9258,6,0,0,2,2,0,0
4.2,8,26.7678,6,0,0,2,2,1,0
4.2,8,24.301,6,0,0,2,2,1,0
5.2,10,24.3325,6,0,0,2,2,1,0
5.2,10,23.0667,6,0,0,2,2,1,0
3,6,32.8579,7,1,0,2,2,1,0
1.5,4,52.2,6,0,0,2,2,1,1
1.5,4,55.6446,1,1,0,2,2,1,1
6.3,8,26,7,1,0,2,2,1,0
6,12,25,5,1,0,2,1,1,0
6.2,8,26.8,7,0,0,2,2,1,0
3.6,6,32.2993,6,0,0,2,2,1,1
3.8,6,36.7669,7,1,0,2,2,1,1
3.4,6,41.347,7,1,0,2,2,1,1
3.4,6,37.055,6,0,0,2,2,1,1
5,8,30.8503,6,1,0,2,2,1,1
3.8,6,36.7669,7,1,0,2,2,1,1
3.8,6,34.8617,6,0,0,2,2,1,1
3.8,6,37.0666,7,1,0,2,2,1,1
3.8,6,36.0277,6,0,0,2,2,1,1
6,12,24.7,6,0,0,2,2,1,0
3,6,36.4738,6,0,0,2,2,1,0
3,6,32.8579,7,1,0,2,2,1,0
3,6,36.4738,6,0,0,2,2,1,0
3,6,32.8579,7,1,0,2,2,1,0
1.6,4,54.2501,6,1,1,2,2,1,0
1.6,4,52.6,5,0,1,2,2,1,0
1.6,4,56.4204,6,1,1,2,2,1,0
3.7,6,41.4056,6,1,0,2,2,1,0
3.7,6,35.1628,7,1,0,2,2,1,1
3.5,6,34.7494,6,1,0,2,2,1,0
3.5,6,34.9,7,1,0,2,2,1,0
5.5,8,30.6,7,1,0,2,2,1,0
5.5,8,31.7,7,1,0,2,2,1,0
1.6,4,47.8478,6,1,0,2,2,1,1
1.6,4,50.2436,6,0,0,2,2,1,1
1.8,4,47.2,4,1,0,2,2,1,0
1.8,4,46.9,5,0,0,2,2,1,0
4,8,28.4,6,0,0,2,2,1,0
4,8,27.9711,7,1,0,2,2,1,0
1.4,4,50.4,6,1,0,2,2,1,0
1.4,4,54.05,6,1,0,2,2,1,0
1.4,4,59.7,6,0,0,2,2,1,0
1.4,4,52.7496,1,0,0,2,2,1,0
2,4,40,4,1,0,2,2,1,0
2,4,40.9,6,1,0,2,2,1,0
3.6,6,40.5,6,1,0,2,2,1,0
6.4,8,29.9499,5,1,0,1,1,1,0
6.4,8,31.4,6,1,0,1,1,1,0
1.8,4,56.9915,1,0,0,2,2,1,0
1.5,4,46.5,4,1,0,2,2,1,0
1.5,4,49.6,5,0,0,2,2,1,0
1.6,4,42,6,1,0,2,2,1,1
1.6,4,49.9494,6,0,0,2,2,1,1
1.6,4,45.3,6,1,0,2,2,1,1
1.6,4,45.5,6,0,0,2,2,1,1
1.6,4,42.8,6,1,0,2,2,1,1
1.6,4,43.7,6,0,0,2,2,1,1
2.5,4,42.904,6,0,0,2,2,1,0
2.5,4,43.2617,6,1,0,2,2,1,0
2.5,4,37.5899,5,0,0,2,2,0,1
2.5,4,36.6557,4,1,0,2,2,0,1
2.5,4,34.4341,5,0,0,2,2,1,0
2.5,4,31.3669,6,0,0,2,2,1,0
2,4,41.5661,1,1,0,2,2,1,0
2,4,44.708,6,0,0,2,2,1,0
2,4,59.5361,6,0,0,2,2,0,0
2,4,59.4381,6,1,0,2,2,0,0
2,4,46.2,5,0,0,1,1,0,0
2,4,41.399,6,1,0,1,1,0,0
2.5,5,44.5159,5,0,0,2,2,1,0
2.5,5,42.4888,6,1,0,2,2,1,0
3,6,35.8,6,1,0,2,2,1,0
6.8,8,23.4,8,0,0,1,1,1,0
4.4,8,33.0499,8,1,0,2,2,1,0
4.4,8,33.6032,8,1,0,2,2,1,0
2.4,4,42,6,1,0,2,2,1,0
3.6,6,37.4874,6,1,0,2,2,1,0
3.6,6,36.1,6,1,0,2,2,1,0
2,4,39.4,6,1,0,2,2,1,0
2,4,44.7,6,0,0,2,2,1,0
2.4,4,42.5,6,1,0,2,2,1,0
2,4,41.5,4,1,0,2,2,1,0
2,4,43.5,6,1,0,2,2,1,0
3.6,6,40.5,6,1,0,2,2,1,0
3,6,39.7,6,1,1,2,2,1,0
2.5,6,40.8075,7,1,0,2,2,1,0
2.5,6,37.98,7,1,0,2,2,1,0
3.7,6,36.7528,7,1,0,2,2,1,1
3.7,6,33.4,7,1,0,2,2,1,1
5.6,8,34.5,7,1,0,2,2,1,1
5.6,8,32.4,7,1,0,2,2,1,1
3,6,39.7,6,1,1,2,2,1,0
2.5,4,51.6,1,0,0,2,2,1,0
2.3,4,34.7,6,0,0,2,2,1,0
3,6,47.1,7,1,0,2,2,1,0
4.2,8,35.7222,8,0,0,2,2,1,0
3,6,37.9997,8,1,0,2,2,1,1
4.4,8,31.2274,8,1,0,2,2,1,0
4.4,8,30.548,8,1,0,2,2,1,0
3,6,35.4966,6,1,0,2,2,1,0
3,6,35.4966,6,1,0,2,2,1,0
4.4,8,33.6032,8,1,0,2,2,1,0
4.4,8,29.8378,6,1,0,2,2,1,0
4.4,8,27.7307,6,1,0,2,2,1,0
4.4,8,29.8378,6,1,0,2,2,1,0
4.4,8,27.7307,6,1,0,2,2,1,0
