EngDispl,NumCyl,FE ,NumGears,EngDispl2011,NumCyl2011,Becoef_Engd2010,Becoef_Numcyl2010,predictedval12011,predictedval22011,,,,
4.7,8,28.0198,6,5.9,12,-4.517,-2.9203,23.9127,28.7816,,,,
4.7,8,25.6094,6,4.2,8,-4.517,-2.9203,31.5916,28.7816,,predictedval12011,,prediction using EngDispl2011
4.2,8,26.8,6,4.2,8,-4.517,-2.9203,31.5916,28.7816,,,,
4.2,8,25.0451,6,5.2,10,-4.517,-2.9203,27.0746,28.7816,,predictedval22011,,prediction using Numcyl2011
5.2,10,24.8,6,5.2,10,-4.517,-2.9203,27.0746,22.941,,,,
5.2,10,23.9,6,3,6,-4.517,-2.9203,37.012,22.941,,,,
2,4,39.7256,6,1.5,4,-4.517,-2.9203,43.7875,40.4628,,,,
6,12,24.4,6,1.5,4,-4.517,-2.9203,43.7875,17.1004,,,,
3,6,39.7103,6,6.3,8,-4.517,-2.9203,22.1059,34.6222,,,,
3,6,38.7896,6,6,12,-4.517,-2.9203,23.461,34.6222,,,,
3,6,33.6296,7,6.2,8,-4.517,-2.9203,22.5576,34.6222,,,,
3,6,35.2678,6,3.6,6,-4.517,-2.9203,34.3018,34.6222,,,,
8,16,17.8,7,3.8,6,-4.517,-2.9203,33.3984,5.4192,,,,
6.2,8,27.1,6,3.4,6,-4.517,-2.9203,35.2052,28.7816,,,,
6.2,8,34.3493,6,3.4,6,-4.517,-2.9203,35.2052,28.7816,,,,
6.2,8,35.8,6,5,8,-4.517,-2.9203,27.978,28.7816,,,,
7,8,33.7,6,3.8,6,-4.517,-2.9203,33.3984,28.7816,,,,
8.4,10,30,6,3.8,6,-4.517,-2.9203,33.3984,22.941,,,,
8.4,10,30,6,3.8,6,-4.517,-2.9203,33.3984,22.941,,,,
4.5,8,24.3499,7,3.8,6,-4.517,-2.9203,33.3984,28.7816,,,,
5.7,12,20.99,6,6,12,-4.517,-2.9203,23.461,17.1004,,,,
5.7,12,21.1,6,3,6,-4.517,-2.9203,37.012,17.1004,,,,
5.2,10,25.4,6,3,6,-4.517,-2.9203,37.012,22.941,,,,
5.2,10,24,6,3,6,-4.517,-2.9203,37.012,22.941,,,,
5.2,10,25.4,6,3,6,-4.517,-2.9203,37.012,22.941,,,,
5.2,10,22.6,6,1.6,4,-4.517,-2.9203,43.3358,22.941,,,,
6.5,12,17.5,7,1.6,4,-4.517,-2.9203,43.3358,17.1004,,,,
6.5,12,19.9,7,1.6,4,-4.517,-2.9203,43.3358,17.1004,,,,
6.5,12,19.9,7,3.7,6,-4.517,-2.9203,33.8501,17.1004,,,,
6.5,12,17.5,7,3.7,6,-4.517,-2.9203,33.8501,17.1004,,,,
6.5,12,19.9,7,3.5,6,-4.517,-2.9203,34.7535,17.1004,,,,
1.8,4,37.62,6,3.5,6,-4.517,-2.9203,34.7535,40.4628,,,,
1.8,4,37.0028,6,5.5,8,-4.517,-2.9203,25.7195,40.4628,,,,
2,4,38.9959,5,5.5,8,-4.517,-2.9203,25.7195,40.4628,,,,
2,4,39,6,1.6,4,-4.517,-2.9203,43.3358,40.4628,,,,
2,4,38.512,6,1.6,4,-4.517,-2.9203,43.3358,40.4628,,,,
5.5,8,29.3,7,1.8,4,-4.517,-2.9203,42.4324,28.7816,,,,
3,6,35.9,6,1.8,4,-4.517,-2.9203,42.4324,34.6222,,,,
3.5,6,36.2,7,4,8,-4.517,-2.9203,32.495,34.6222,,,,
3.5,6,34.5,7,4,8,-4.517,-2.9203,32.495,34.6222,,,,
3.5,6,34.7927,6,1.4,4,-4.517,-2.9203,44.2392,34.6222,,,,
5.5,8,30.8,7,1.4,4,-4.517,-2.9203,44.2392,28.7816,,,,
1,3,57.8,5,1.4,4,-4.517,-2.9203,44.2392,43.3831,,,,
1,3,57.8,5,1.4,4,-4.517,-2.9203,44.2392,43.3831,,,,
3.7,6,35.9802,6,2,4,-4.517,-2.9203,41.529,34.6222,,,,
3.7,6,36.9,7,2,4,-4.517,-2.9203,41.529,34.6222,,,,
3.7,6,34.5832,7,3.6,6,-4.517,-2.9203,34.3018,34.6222,,,,
3.7,6,34.9,6,6.4,8,-4.517,-2.9203,21.6542,34.6222,,,,
2,4,37.5,5,6.4,8,-4.517,-2.9203,21.6542,40.4628,,,,
2,4,40,5,1.8,4,-4.517,-2.9203,42.4324,40.4628,,,,
2.4,4,33.6,5,1.5,4,-4.517,-2.9203,43.7875,40.4628,,,,
2.4,4,36.4,5,1.5,4,-4.517,-2.9203,43.7875,40.4628,,,,
3.8,6,28.5532,6,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
3.8,6,27.372,6,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
2.9,6,37.3296,6,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
2.9,6,41.3608,7,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
3.4,6,36.7299,6,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
3.4,6,40.9978,7,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
2.9,6,37.3296,6,2.5,4,-4.517,-2.9203,39.2705,34.6222,,,,
2.9,6,41.3608,7,2.5,4,-4.517,-2.9203,39.2705,34.6222,,,,
3.4,6,36.7299,6,2.5,4,-4.517,-2.9203,39.2705,34.6222,,,,
3.4,6,40.9978,7,2.5,4,-4.517,-2.9203,39.2705,34.6222,,,,
2,4,37.5,5,2.5,4,-4.517,-2.9203,39.2705,40.4628,,,,
2,4,40,5,2.5,4,-4.517,-2.9203,39.2705,40.4628,,,,
2.4,4,36.4,5,2,4,-4.517,-2.9203,41.529,40.4628,,,,
2.4,4,33.6,5,2,4,-4.517,-2.9203,41.529,40.4628,,,,
4.2,8,27.471,6,2,4,-4.517,-2.9203,41.529,28.7816,,,,
5.9,12,23.6523,6,2,4,-4.517,-2.9203,41.529,17.1004,,,,
5.9,12,27.2408,6,2,4,-4.517,-2.9203,41.529,17.1004,,,,
5.9,12,22.9258,6,2,4,-4.517,-2.9203,41.529,17.1004,,,,
5.9,12,24.6983,6,2.5,5,-4.517,-2.9203,39.2705,17.1004,,,,
4.3,8,26.1157,7,2.5,5,-4.517,-2.9203,39.2705,28.7816,,,,
5,8,32.8808,6,3,6,-4.517,-2.9203,37.012,28.7816,,,,
5,8,30.3378,6,6.8,8,-4.517,-2.9203,19.8474,28.7816,,,,
5,8,30.8027,6,4.4,8,-4.517,-2.9203,30.6882,28.7816,,,,
4.3,8,31.6,6,4.4,8,-4.517,-2.9203,30.6882,28.7816,,,,
3.5,6,35.5,6,2.4,4,-4.517,-2.9203,39.7222,34.6222,,,,
1.6,4,51.6555,6,3.6,6,-4.517,-2.9203,34.3018,40.4628,,,,
1.6,4,47.2025,6,3.6,6,-4.517,-2.9203,34.3018,40.4628,,,,
1.6,4,52,6,2,4,-4.517,-2.9203,41.529,40.4628,,,,
1.6,4,47.2025,6,2,4,-4.517,-2.9203,41.529,40.4628,,,,
1.6,4,44.5714,6,2.4,4,-4.517,-2.9203,39.7222,40.4628,,,,
1.6,4,47.7592,6,2,4,-4.517,-2.9203,41.529,40.4628,,,,
1.6,4,44.5714,6,2,4,-4.517,-2.9203,41.529,40.4628,,,,
1.6,4,47.7592,6,3.6,6,-4.517,-2.9203,34.3018,40.4628,,,,
1.6,4,46.5047,6,3,6,-4.517,-2.9203,37.012,40.4628,,,,
